Sample,CqH1,CqH2,CqH3,CqH4,CqH_CV,CqD1,CqD2,CqD3,CqD4,CqD_CV,CqC1,CqC2,CqC3,CqC4,CqC_CV,CqA1,CqA2,CqA3,CqA4,CqA_CV,CqH_avg,CqD_avg,CqC_avg,CqA_avg,CqH_scaled,CqD_scaled,CqC_scaled,CqA_scaled,SH_D,SH_C,SH_A,SH_T,%D,%C,%A
15.1,20.06,19.53,,,1.893238666,24.67,24.41,,,0.7491758888,40,40,,,0,36.13,40,,,7.189027304,19.795,24.54,40,38.065,19.795,24.54,38.77,38.065,1.182905502,0.000008029465421,0.00006690030556,1.182980432,0.9999366602,0.000006787487947,0.00005655233491
15.3,20.72,20.88,,,0.5439282932,26.6,25.7,,,2.433637105,40,40,,,0,40,39.6,,,0.7106600816,20.8,26.15,40,39.8,20.8,26.15,38.77,39.8,0.7777265128,0.00001611468341,0.00004033445606,0.777782962,0.999927423,0.00002071874057,0.0000518582407
15.4,19.97,19.34,,,2.266483196,26.49,26.52,,,0.08003472339,40,40,,,0,40,40,,,0,19.655,26.505,40,40,19.655,26.505,38.77,40,0.2749678456,0.000007286893677,0.00001587781949,0.2749910103,0.9999157619,0.00002649866143,0.00005773941292
15.5,24.92,26.41,,,4.105159182,29.97,29.64,,,0.7829063506,39.39,40,,,1.086623344,33.45,32.7,,,1.603416737,25.665,29.805,39.695,33.075,25.665,29.805,38.465,33.075,1.799174135,0.0005801587616,0.1243408564,1.924095151,0.9350754483,0.0003015229062,0.06462302884
16.1,18.58,18.98,,,1.506084731,28.48,27.75,,,1.83598773,23.42,24.15,,,2.170224723,33.03,30.84,,,4.849111792,18.78,28.115,23.785,31.935,18.78,28.115,22.555,31.935,0.04911592999,0.3022334762,0.002318443567,0.3536678497,0.1388758691,0.8545687045,0.006555426422
16.2,18.93,18.43,,,1.892684104,28.19,28.82,,,1.562803972,28.63,28.48,,,0.3714446408,40,40,,,0,18.68,28.505,28.555,40,18.68,28.505,27.325,40,0.03497177486,0.01033538091,0.000008077679444,0.04531523345,0.7717443383,0.2280774064,0.000178255276
16.3,20.67,19.59,,,3.793717455,31.75,29.86,,,4.33836006,26.49,26.27,,,0.5897023952,32.7,30.72,,,4.415236287,20.13,30.805,26.38,31.71,20.13,30.805,25.15,31.71,0.01940180688,0.1275146907,0.006907466261,0.1538239638,0.1261299371,0.8289650553,0.04490500759
16.4,22.78,22.92,,,0.4332382904,27.41,27.83,,,1.07525289,25.8,26.1,,,0.8174644869,33.74,32.91,,,1.761136169,22.85,27.62,25.95,33.325,22.85,27.62,24.72,33.325,1.162583893,1.131891264,0.01485788243,2.30933304,0.5034284243,0.4901377343,0.006433841363
16.5,19.89,19.22,,,2.422713083,27.07,29.33,,,5.666884133,26.12,28.4,,,5.914172638,33.94,35.4,,,2.977721086,19.555,28.2,27.26,34.67,19.555,28.2,26.03,34.67,0.07923792035,0.04651163196,0.0005959059718,0.1263454583,0.6271528983,0.3681306206,0.004716481145
16.6,19.75,19.77,,,0.07156951227,31.41,31.84,,,0.9614416313,26.84,27.22,,,0.9940827852,36.78,33.84,,,5.88755009,19.76,31.625,27.03,35.31,19.76,31.625,25.8,35.31,0.008503867458,0.06287957911,0.0004407879257,0.0718242345,0.1183983027,0.8754646611,0.006137036179
17.1,18.28,16.86,,,5.714807224,26.17,25.55,,,1.695306281,40,40,,,0,36.95,34.01,,,5.859340295,17.57,25.86,40,35.48,17.57,25.86,38.77,35.48,0.1013441576,0.000001717492668,0.00008586158471,0.1014317367,0.9991365713,0.0000169324979,0.0008464962497
17.2,18.89,19.05,,,0.5964000263,23.39,23.87,,,1.436357406,40,40,,,0,37.08,33.88,,,6.377513246,18.97,23.63,40,35.48,18.97,23.63,38.77,35.48,1.254693365,0.000004532490325,0.0002265900805,1.254924488,0.9998158275,0.000003611763393,0.0001805607291
17.3,21.73,21.92,,,0.6155797866,25.64,25.77,,,0.3576108989,40,40,,,0,32.94,33.08,,,0.2998938181,21.825,25.705,40,33.01,21.825,25.705,38.77,33.01,2.154472713,0.00003279272623,0.009082922752,2.163588428,0.9957867608,0.00001515663783,0.004198082515
17.5,20.46,19.94,,,1.820274882,24.07,24.06,,,0.02938320304,40,40,,,0,36.42,40,,,6.625077929,20.2,24.065,40,38.21,20.2,24.065,38.77,38.21,2.176990069,0.00001063172612,0.00008011169124,2.177080813,0.9999583188,0.000004883477939,0.00003679775724
17.6,19.66,18.02,,,6.155281959,25.59,24.91,,,1.904287569,40,40,,,0,38.48,31.33,,,14.48449645,18.84,25.25,40,34.905,18.84,25.25,38.77,34.905,0.3730225692,0.000004141932207,0.0003084602752,0.3733351714,0.9991626768,0.00001109440665,0.0008262288123
18.2,22.13,23.28,,,3.581470154,28.22,28.79,,,1.413965498,40,40,,,0,32.64,33.44,,,1.712122957,22.705,28.505,40,33.04,22.705,28.505,38.77,33.04,0.5693291314,0.00006035092342,0.01637197666,0.585761459,0.9719470659,0.0001030298639,0.0279499042
