UniqueID,Site,Tag,Array,Genotype,FragID,TissueSampledT0,TissueSampledT24,T0_Status,T0_SA,T12_Status,T12_SA,T12_V,T12_Vhull,T12_IS,T15_Status,T15_SA,T15_V,T15_Vhull,T15_IS,T18_Status,T18_SA,T18_V,T18_Vhull,T18_IS,T24_Status,T24_SA,T24_V,T24_Vhull,T24_IS,T24_Dead,T24_TOD,T24_TOD_mod,T0_V,T0_IS
BP39,Big Pine,39,2,AP13-XK,15,1,0,A,5.922,A,34.718399,1.339478,3.003109,1.663631,A,54.337845,2.949364,6.073473,3.124109,A,7.308605,0.876162,2.124209,1.248047,D,NA,NA,NA,NA,1,20,24,0,0
BP40,Big Pine,40,2,AP14-5,20,1,0,A,6.097,A,38.427944,2.911159,8.671884,5.760725,A,53.178043,7.189507,18.360836,11.171329,A,15.395508,2.918818,7.940481,5.021663,D,NA,NA,NA,NA,1,20,24,0,0
BP41,Big Pine,41,3,AP13-X7,23,0,1,A,6.27,A,NA,NA,NA,NA,A,63.915421,5.115754,12.40931,7.293556,A,75.868805,6.993865,16.013212,9.019347,A,104.169937,13.548006,27.759472,14.211466,0,24,25,0,0
BP42,Big Pine,42,3,AP13-X5,23,0,0,A,3.073,A,30.605953,6.257647,10.301292,4.043645,A,58.176311,11.16015,22.973145,11.812995,A,71.575012,15.100702,31.072735,15.972033,A,123.308052,29.706369,64.038193,34.331824,0,24,25,0,0
BP43,Big Pine,43,3,AP13-X9,21,0,1,A,5.017,A,54.67646,7.198006,13.56613,6.368124,A,84.99958,10.900648,23.080532,12.179884,A,98.930611,15.062703,29.829567,14.766864,A,173.387421,41.683762,87.907585,46.223823,0,24,25,0,0
BP44,Big Pine,44,3,AP13-XK,24,0,1,A,6.322,A,NA,NA,NA,NA,A,64.44339,3.01296,7.850844,4.837884,A,86.619934,4.389316,10.84816,6.458844,A,128.960449,8.952822,20.059813,11.106991,0,24,25,0,0
BP45,Big Pine,45,3,AP14-5,23,0,1,A,6.08,A,37.352043,3.481333,9.53307,6.051737,A,70.655998,6.439433,20.393749,13.954316,A,100.609428,14.773187,37.405941,22.632754,A,117.354935,19.672518,53.691204,34.018686,0,24,25,0,0
DL31,Dave's Ledge,31,1,AP13-X7,13,1,1,A,6.915,A,NA,NA,NA,NA,A,47.901157,2.768367,5.909764,3.141397,A,69.100739,3.691235,8.083901,4.392666,A,118.683266,4.64185,10.684022,6.042172,0,24,25,0,0
DL32,Dave's Ledge,32,1,AP13-X5,12,0,1,A,5.748,A,NA,NA,NA,NA,A,33.732956,3.381789,7.686603,4.304814,A,49.744419,6.540777,13.166158,6.625381,A,88.462669,13.608094,26.109192,12.501098,0,24,25,0,0
DL33,Dave's Ledge,33,1,AP13-X9,15,1,1,A,8.138,A,NA,NA,NA,NA,A,66.801277,6.978831,12.726785,5.747954,A,86.040108,10.028743,17.63546,7.606717,A,157.740204,23.817341,43.703327,19.885986,0,24,25,0,0
